iter	Passed	Remaining
406	6256	9115
407	6271	9099
408	6286	9083
409	6299	9064
410	6312	9046
411	6329	9032
412	6343	9016
413	6355	8996
414	6372	8982
415	6388	8967
416	6401	8949
417	6414	8930
418	6430	8916
419	6445	8900
420	6458	8881
421	6472	8865
422	6488	8851
423	6503	8834
424	6514	8813
425	6528	8796
426	6543	8780
427	6555	8760
428	6570	8745
429	6586	8731
430	6602	8716
431	6614	8697
432	6629	8681
433	6645	8667
434	6659	8650
435	6672	8631
436	6688	8616
437	6703	8601
438	6715	8582
439	6729	8564
440	6745	8550
441	6759	8533
442	6771	8513
443	6787	8499
444	6803	8485
445	6818	8468
446	6830	8450
447	6846	8435
448	6861	8420
449	6874	8402
450	6888	8385
451	6904	8371
452	6920	8356
453	6933	8338
454	6947	8321
455	6963	8306
456	6977	8290
457	6988	8270
458	7006	8257
459	7022	8244
460	7036	8226
461	7048	8207
462	7064	8193
463	7079	8177
464	7091	8159
465	7105	8142
466	7122	8129
467	7137	8113
468	7148	8093
469	7164	8078
470	7180	8064
471	7194	8048
472	7207	8030
473	7223	8015
474	7239	8001
475	7254	7986
476	7266	7967
477	7282	7953
478	7297	7937
479	7313	7922
480	7325	7904
481	7341	7889
482	7356	7874
483	7370	7857
484	7384	7841
485	7400	7826
486	7415	7811
487	7427	7793
488	7443	7777
489	7458	7763
490	7474	7748
491	7489	7733
492	7502	7715
493	7519	7701
494	7533	7685
495	7546	7668
496	7560	7651
497	7576	7637
498	7590	7621
499	7602	7602
500	7619	7588
501	7635	7574
502	7649	7558
503	7662	7540
504	7678	7526
505	7692	7509
506	7705	7493
507	7719	7476
508	7734	7461
509	7749	7445
510	7761	7427
511	7777	7412
512	7792	7397
513	7807	7381
514	7819	7364
515	7836	7350
516	7854	7337
517	7869	7322
518	7886	7308
519	7898	7291
520	7915	7277
521	7932	7263
522	7946	7247
523	7959	7230
524	7975	7216
525	7991	7201
526	8005	7185
527	8023	7172
528	8037	7156
529	8053	7141
530	8068	7126
531	8080	7108
532	8094	7092
533	8114	7080
534	8134	7069
535	8156	7060
536	8176	7050
537	8195	7037
538	8215	7026
539	8259	7036
540	8298	7040
541	8336	7044
542	8368	7043
543	8392	7034
544	8416	7026
545	8436	7014
546	8470	7014
547	8493	7005
548	8765	7200
549	8869	7256
550	8938	7283
551	9014	7315
552	9058	7322
553	9099	7325
554	9119	7311
555	9142	7300
556	9166	7290
557	9209	7295
558	9265	7309
559	9302	7309
560	9332	7302
561	9370	7303
562	9407	7302
563	9447	7303
564	9600	7391
565	9637	7390
566	9697	7405
567	9790	7446
568	9819	7437
569	9860	7438
570	9894	7433
571	9915	7419
572	9966	7426
573	10007	7427
574	10059	7435
575	10106	7439
576	10161	7449
577	10206	7452
578	10237	7443
579	10283	7446
580	10329	7449
581	10352	7435
582	10397	7436
583	10466	7455
584	10510	7456
585	10556	7457
586	10602	7459
587	10671	7476
588	10711	7474
589	10747	7468
590	10790	7467
591	10838	7469
592	10864	7456
593	10896	7447
594	10929	7439
595	10973	7438
596	11013	7434
597	11063	7437
598	11093	7426
599	11117	7411
600	11142	7397
601	11170	7384
602	11197	7371
603	11226	7360
604	11251	7346
605	11282	7335
606	11302	7317
607	11330	7304
608	11368	7298
609	11395	7285
610	11415	7267
611	11437	7251
612	11461	7235
613	11486	7221
614	11513	7207
615	11538	7193
616	11572	7183
617	11604	7173
618	11637	7163
619	11660	7146
620	11684	7130
621	11698	7109
622	11720	7092
623	11744	7077
624	11778	7066
625	11802	7051
626	11824	7034
627	11845	7016
628	11869	7000
629	11896	6986
630	11932	6977
631	11953	6960
632	11978	6944
633	11993	6923
634	12012	6905
635	12032	6886
636	12055	6869
637	12077	6852
638	12096	6833
639	12116	6815
640	12137	6797
641	12158	6780
642	12178	6761
643	12216	6753
644	12235	6734
645	12255	6715
646	12276	6697
647	12295	6679
648	12315	6660
649	12340	6644
650	12361	6626
651	12379	6607
652	12399	6588
653	12420	6570
654	12450	6557
655	12489	6549
656	12547	6550
657	12588	6542
658	12632	6536
659	12683	6533
660	12721	6524
661	12743	6506
662	12773	6492
663	12797	6475
664	12824	6460
665	12846	6442
666	12868	6424
667	12885	6404
668	12904	6384
669	12921	6364
670	12938	6343
671	12955	6323
672	12972	6303
673	12990	6283
674	13006	6262
675	13022	6241
676	13037	6220
677	13056	6201
678	13074	6180
679	13092	6160
680	13110	6141
681	13126	6120
682	13143	6100
683	13160	6079
684	13175	6058
685	13192	6038
686	13211	6019
687	13228	5998
688	13245	5978
689	13264	5959
690	13286	5941
691	13305	5922
692	13324	5902
693	13343	5883
694	13366	5865
695	13385	5846
696	13403	5826
697	13420	5806
698	13438	5786
699	13452	5765
700	13470	5745
701	13488	5725
702	13509	5707
703	13527	5687
704	13545	5668
705	13564	5648
706	13580	5628
707	13598	5608
708	13616	5588
