iter	Logloss
0	0.6207193682
1	0.5765766916
2	0.5567216907
3	0.5362458011
4	0.4865341297
5	0.4746138418
6	0.4582838873
7	0.4468580296
8	0.439501489
9	0.4238981511
10	0.4097499833
11	0.3996572919
12	0.3945377835
13	0.3902180462
14	0.3840574426
15	0.3762936695
16	0.369164423
17	0.3656464635
18	0.3624997367
19	0.3525042707
20	0.3481206358
21	0.3458114613
22	0.3385837132
23	0.329715291
24	0.3243151257
25	0.3169152686
26	0.3109563683
27	0.3094512735
28	0.2989273208
29	0.2976842586
30	0.2964323158
31	0.2912849769
32	0.2877884459
33	0.2827246869
34	0.281550864
35	0.2801262566
36	0.2788816029
37	0.2778454409
38	0.2772427808
39	0.2740226327
40	0.273149266
41	0.2723753989
42	0.2719568971
43	0.2686763379
44	0.2657245525
45	0.2653483046
46	0.2648643981
47	0.2643467334
48	0.2614366299
49	0.2607942356
50	0.2593031663
51	0.2575909155
52	0.2570323735
53	0.2543442709
54	0.2540114984
55	0.252979371
56	0.2527155888
57	0.2523486897
58	0.2504481637
59	0.2494058167
60	0.2490568398
61	0.2477395403
62	0.2475342986
63	0.2471783898
64	0.2441093222
65	0.242950014
66	0.2423110593
67	0.2413261097
68	0.2410845127
69	0.2408311908
70	0.2397357613
71	0.2395671714
72	0.2385094951
73	0.2383496911
74	0.2378072512
75	0.2361551006
76	0.2356729917
77	0.2353994121
78	0.2350161326
79	0.2349106807
80	0.2346815462
81	0.2339270094
82	0.2329900216
83	0.2327373127
84	0.2318129999
85	0.2309638985
86	0.2308769283
87	0.2306900405
88	0.2305680775
89	0.2299167453
90	0.2297326409
91	0.2295216009
92	0.2281129967
93	0.2262680878
94	0.2258108501
95	0.2255992121
96	0.2253856071
97	0.2253406726
98	0.2247712899
99	0.223324594
100	0.2232414753
101	0.2229307155
102	0.2227914969
103	0.2226955251
104	0.2225168843
105	0.222433296
106	0.2222112475
107	0.2216955951
108	0.221532433
109	0.220151678
110	0.2200219908
111	0.2196279789
112	0.2194908726
113	0.2188779981
114	0.2187965287
115	0.2184359365
116	0.2177925448
117	0.2175200987
118	0.217430039
119	0.2172953883
120	0.2172120912
121	0.2170964012
122	0.2168545391
123	0.2166515888
124	0.2162092359
125	0.2160641407
126	0.2158904106
127	0.2157321494
128	0.2154670887
129	0.2152734142
130	0.21516571
131	0.2139573051
132	0.21388503
133	0.2136606221
134	0.21339096
135	0.2132341273
136	0.2130625413
137	0.2129294848
138	0.2128259903
139	0.2124972929
140	0.212407188
141	0.2123837737
142	0.2122879204
143	0.2122162375
144	0.2119144374
145	0.2117425476
146	0.2114585467
147	0.2113865969
148	0.2112996772
149	0.2112142067
150	0.2110499224
151	0.2107141377
152	0.2103553257
153	0.2102903279
154	0.2102415259
155	0.2097884186
156	0.2093772924
157	0.2093119179
158	0.209237632
159	0.2089461417
160	0.2086206108
161	0.2085677694
162	0.208470251
163	0.2084110439
164	0.2083433259
165	0.2082526122
166	0.207706604
167	0.2076599324
168	0.2075261011
169	0.2072570685
170	0.2070374745
171	0.2069645116
172	0.2069151855
173	0.2068749529
174	0.2068448267
175	0.2067630622
176	0.2067412482
177	0.2067139021
178	0.2066335121
179	0.2066028959
180	0.2065709916
181	0.2065445429
182	0.2064969722
183	0.2063423011
184	0.2062671541
185	0.2062133922
186	0.206180135
187	0.206110628
188	0.2060370964
189	0.2059842733
190	0.2059478492
191	0.2056692963
192	0.2056006639
193	0.205476917
194	0.2054083367
195	0.2053452008
196	0.2053219355
197	0.2052747233
198	0.2052055403
199	0.2044191892
200	0.204357366
201	0.2039768773
202	0.2039350561
203	0.2038752936
204	0.2037303126
205	0.2032669585
206	0.2031831191
207	0.2031205633
208	0.2030645687
209	0.2029739515
210	0.2029219198
211	0.2028792288
212	0.2028219112
